Sex,Year,Source,Target,Mortality Type,Value,Cause
Male,2008,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",142963.8123,"Malignant neoplasms of colon, rectum and anus"
Male,2009,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",145934.068,"Malignant neoplasms of colon, rectum and anus"
Male,2010,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",147083.9433,"Malignant neoplasms of colon, rectum and anus"
Male,2011,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",144277.2852,"Malignant neoplasms of colon, rectum and anus"
Male,2012,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",145870.7732,"Malignant neoplasms of colon, rectum and anus"
Male,2013,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",144456.0297,"Malignant neoplasms of colon, rectum and anus"
Male,2014,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",142995.2381,"Malignant neoplasms of colon, rectum and anus"
Male,2015,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",141881.5492,"Malignant neoplasms of colon, rectum and anus"
Male,2016,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",141872.1353,"Malignant neoplasms of colon, rectum and anus"
Male,2017,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",129814.2041,"Malignant neoplasms of colon, rectum and anus"
Male,2018,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",116225.9815,"Malignant neoplasms of colon, rectum and anus"
Male,2019,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",118327.0971,"Malignant neoplasms of colon, rectum and anus"
Male,2020,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",102140.1668,"Malignant neoplasms of colon, rectum and anus"
Total,2000,Total,External Causes,Accidental falls,71189.21975,
Total,2001,Total,External Causes,Accidental falls,75540.3276,
Total,2002,Total,External Causes,Accidental falls,77546.02162,
Total,2003,Total,External Causes,Accidental falls,75975.00148,
Total,2004,Total,External Causes,Accidental falls,75303.65387,
Total,2005,Total,External Causes,Accidental falls,72890.78747,
Total,2006,Total,External Causes,Accidental falls,73802.13984,
Total,2007,Total,External Causes,Accidental falls,73144.60539,
Total,2008,Total,External Causes,Accidental falls,74893.50988,
Total,2009,Total,External Causes,Accidental falls,80816.25528,
Total,2010,Total,External Causes,Accidental falls,81867.47625,
Total,2011,Total,External Causes,Accidental falls,82834.06357,
Total,2012,Total,External Causes,Accidental falls,85526.46925,
Total,2013,Total,External Causes,Accidental falls,90346.45134,
Total,2014,Total,External Causes,Accidental falls,92953.06739,
Total,2015,Total,External Causes,Accidental falls,94096.34091,
Total,2016,Total,External Causes,Accidental falls,96444.52039,
Total,2017,Total,External Causes,Accidental falls,90643.43295,
Total,2018,Total,External Causes,Accidental falls,85248.22027,
Total,2019,Total,External Causes,Accidental falls,90543.46369,
Total,2020,Total,External Causes,Accidental falls,81017.03892,
Total,2021,Total,External Causes,Accidental falls,7058.224653,
Female,2000,Total,Cancers,Malignant neoplasms of cervix uteri,24636.4416,Malignant neoplasms of cervix uteri
Female,2001,Total,Cancers,Malignant neoplasms of cervix uteri,24701.77352,Malignant neoplasms of cervix uteri
Female,2002,Total,Cancers,Malignant neoplasms of cervix uteri,24121.68866,Malignant neoplasms of cervix uteri
Female,2003,Total,Cancers,Malignant neoplasms of cervix uteri,24257.2741,Malignant neoplasms of cervix uteri
Female,2004,Total,Cancers,Malignant neoplasms of cervix uteri,23563.50003,Malignant neoplasms of cervix uteri
Female,2005,Total,Cancers,Malignant neoplasms of cervix uteri,23155.7699,Malignant neoplasms of cervix uteri
Female,2006,Total,Cancers,Malignant neoplasms of cervix uteri,22623.74051,Malignant neoplasms of cervix uteri
Female,2007,Total,Cancers,Malignant neoplasms of cervix uteri,22446.71044,Malignant neoplasms of cervix uteri
Female,2008,Total,Cancers,Malignant neoplasms of cervix uteri,22258.87678,Malignant neoplasms of cervix uteri
Female,2009,Total,Cancers,Malignant neoplasms of cervix uteri,22438.15221,Malignant neoplasms of cervix uteri
Female,2010,Total,Cancers,Malignant neoplasms of cervix uteri,22177.1445,Malignant neoplasms of cervix uteri
Female,2011,Total,Cancers,Malignant neoplasms of cervix uteri,21924.78952,Malignant neoplasms of cervix uteri
Female,2012,Total,Cancers,Malignant neoplasms of cervix uteri,21407.22059,Malignant neoplasms of cervix uteri
Female,2013,Total,Cancers,Malignant neoplasms of cervix uteri,21259.78768,Malignant neoplasms of cervix uteri
Female,2014,Total,Cancers,Malignant neoplasms of cervix uteri,21472.43228,Malignant neoplasms of cervix uteri
Female,2015,Total,Cancers,Malignant neoplasms of cervix uteri,20958.40345,Malignant neoplasms of cervix uteri
Female,2018,Total,Cancers,Malignant neoplasms of cervix uteri,19046.07481,Malignant neoplasms of cervix uteri
Female,2005,Total,Cancers,Malignant neoplasms of liver,31735.28981,Malignant neoplasms of liver
Male,2000,Total,Other,"Symptoms, signs, ill-defined causes",183644.9105,
Male,2001,Total,Other,"Symptoms, signs, ill-defined causes",177090.8029,
Male,2002,Total,Other,"Symptoms, signs, ill-defined causes",164228.8847,
Male,2003,Total,Other,"Symptoms, signs, ill-defined causes",170401.5233,
Male,2004,Total,Other,"Symptoms, signs, ill-defined causes",162124.6478,
Male,2005,Total,Other,"Symptoms, signs, ill-defined causes",160709.6699,
Male,2006,Total,Other,"Symptoms, signs, ill-defined causes",156523.3975,
Male,2007,Total,Other,"Symptoms, signs, ill-defined causes",159142.5444,
Male,2008,Total,Other,"Symptoms, signs, ill-defined causes",159532.9955,
Male,2009,Total,Other,"Symptoms, signs, ill-defined causes",174662.6933,
Male,2010,Total,Other,"Symptoms, signs, ill-defined causes",173605.2158,
Male,2011,Total,Other,"Symptoms, signs, ill-defined causes",170233.6996,
Male,2012,Total,Other,"Symptoms, signs, ill-defined causes",173355.9023,
Male,2013,Total,Other,"Symptoms, signs, ill-defined causes",165067.3701,
Male,2014,Total,Other,"Symptoms, signs, ill-defined causes",156515.0832,
Male,2015,Total,Other,"Symptoms, signs, ill-defined causes",159118.3968,
Male,2016,Total,Other,"Symptoms, signs, ill-defined causes",162247.0815,
Male,2017,Total,Other,"Symptoms, signs, ill-defined causes",153480.6619,
Male,2018,Total,Other,"Symptoms, signs, ill-defined causes",142036.9618,
Male,2019,Total,Other,"Symptoms, signs, ill-defined causes",175817.5997,
Male,2020,Total,Other,"Symptoms, signs, ill-defined causes",155028.2466,
Total,2020,Total,External Causes,External causes of mortality,521337.2961,
Total,2021,Total,External Causes,External causes of mortality,33404.62581,
Female,2016,Total,Cancers,Malignant neoplasms of cervix uteri,20980.07926,Malignant neoplasms of cervix uteri
Female,2017,Total,Cancers,Malignant neoplasms of cervix uteri,20226.44877,Malignant neoplasms of cervix uteri
Female,2019,Total,Cancers,Malignant neoplasms of cervix uteri,19179.28822,Malignant neoplasms of cervix uteri
Female,2020,Total,Cancers,Malignant neoplasms of cervix uteri,17834.00405,Malignant neoplasms of cervix uteri
Total,2000,Total,Respiratory System,Asthma,31840.94992,
Total,2001,Total,Respiratory System,Asthma,32034.87478,
Total,2002,Total,Respiratory System,Asthma,31772.51568,
Total,2003,Total,Respiratory System,Asthma,29091.91194,
Total,2004,Total,Respiratory System,Asthma,24732.9128,
Total,2005,Total,Respiratory System,Asthma,22468.69878,
Total,2006,Total,Respiratory System,Asthma,20033.9889,
Total,2007,Total,Respiratory System,Asthma,19387.762,
Total,2008,Total,Respiratory System,Asthma,18189.35477,
Total,2009,Total,Respiratory System,Asthma,19286.74506,
Total,2010,Total,Respiratory System,Asthma,18722.51452,
Total,2011,Total,Respiratory System,Asthma,18067.53817,
Total,2012,Total,Respiratory System,Asthma,17950.89207,
Total,2013,Total,Respiratory System,Asthma,17995.38189,
Total,2014,Total,Respiratory System,Asthma,17287.94128,
Total,2015,Total,Respiratory System,Asthma,17609.75402,
Total,2016,Total,Respiratory System,Asthma,16886.36348,
Total,2017,Total,Respiratory System,Asthma,13203.09524,
Male,2000,Total,Cancers,Malignant neoplasms of prostate,151610.3439,Malignant neoplasms of prostate
Male,2001,Total,Cancers,Malignant neoplasms of prostate,160999.2805,Malignant neoplasms of prostate
Male,2002,Total,Cancers,Malignant neoplasms of prostate,160245.4134,Malignant neoplasms of prostate
Male,2003,Total,Cancers,Malignant neoplasms of prostate,160256.624,Malignant neoplasms of prostate
Male,2004,Total,Cancers,Malignant neoplasms of prostate,155020.7654,Malignant neoplasms of prostate
Male,2005,Total,Cancers,Malignant neoplasms of prostate,146541.6443,Malignant neoplasms of prostate
Male,2006,Total,Cancers,Malignant neoplasms of prostate,148730.5362,Malignant neoplasms of prostate
Male,2007,Total,Cancers,Malignant neoplasms of prostate,150623.4502,Malignant neoplasms of prostate
Male,2008,Total,Cancers,Malignant neoplasms of prostate,147490.8806,Malignant neoplasms of prostate
Male,2009,Total,Cancers,Malignant neoplasms of prostate,152329.4298,Malignant neoplasms of prostate
Male,2010,Total,Cancers,Malignant neoplasms of prostate,153177.8598,Malignant neoplasms of prostate
Male,2011,Total,Cancers,Malignant neoplasms of prostate,149369.8911,Malignant neoplasms of prostate
Male,2012,Total,Cancers,Malignant neoplasms of prostate,146392.6476,Malignant neoplasms of prostate
Male,2013,Total,Cancers,Malignant neoplasms of prostate,146977.03,Malignant neoplasms of prostate
Male,2014,Total,Cancers,Malignant neoplasms of prostate,146772.5002,Malignant neoplasms of prostate
Male,2016,Total,Cancers,Malignant neoplasms of prostate,145340.1829,Malignant neoplasms of prostate
Male,2017,Total,Cancers,Malignant neoplasms of prostate,131951.9952,Malignant neoplasms of prostate
Male,2018,Total,Cancers,Malignant neoplasms of prostate,122317.0485,Malignant neoplasms of prostate
Male,2019,Total,Cancers,Malignant neoplasms of prostate,124314.6111,Malignant neoplasms of prostate
Male,2020,Total,Cancers,Malignant neoplasms of prostate,114626.5659,Malignant neoplasms of prostate
Male,2000,Total,Other,Malignant neoplasms,1351741.24,
Male,2001,Total,Other,Malignant neoplasms,1423920.641,
Male,2002,Total,Other,Malignant neoplasms,1421004.306,
Male,2003,Total,Other,Malignant neoplasms,1414833.615,
Male,2004,Total,Other,Malignant neoplasms,1391246.282,
Male,2005,Total,Other,Malignant neoplasms,1351809.289,
Male,2006,Total,Other,Malignant neoplasms,1368020.015,
Male,2007,Total,Other,Malignant neoplasms,1377567.887,
Male,2008,Total,Other,Malignant neoplasms,1369457.552,
Male,2009,Total,Other,Malignant neoplasms,1419139.183,
Male,2010,Total,Other,Malignant neoplasms,1416839.078,
Male,2011,Total,Other,Malignant neoplasms,1392322.52,
Male,2012,Total,Other,Malignant neoplasms,1391668.936,
Male,2013,Total,Other,Malignant neoplasms,1384546.493,
Male,2014,Total,Other,Malignant neoplasms,1374144.071,
Male,2015,Total,Other,Malignant neoplasms,1353533.418,
Male,2016,Total,Other,Malignant neoplasms,1347524.388,
Male,2017,Total,Other,Malignant neoplasms,1220727.506,
Male,2000,Total,Cancers,Malignant neoplasms of liver,69878.10731,Malignant neoplasms of liver
Male,2001,Total,Cancers,Malignant neoplasms of liver,70227.39233,Malignant neoplasms of liver
Male,2002,Total,Cancers,Malignant neoplasms of liver,72462.78087,Malignant neoplasms of liver
Male,2003,Total,Cancers,Malignant neoplasms of liver,74493.35072,Malignant neoplasms of liver
Male,2004,Total,Cancers,Malignant neoplasms of liver,73491.56238,Malignant neoplasms of liver
Male,2005,Total,Cancers,Malignant neoplasms of liver,72148.51411,Malignant neoplasms of liver
Male,2006,Total,Cancers,Malignant neoplasms of liver,73233.71541,Malignant neoplasms of liver
Male,2007,Total,Cancers,Malignant neoplasms of liver,72985.68983,Malignant neoplasms of liver
Male,2008,Total,Cancers,Malignant neoplasms of liver,73723.27891,Malignant neoplasms of liver
Male,2009,Total,Cancers,Malignant neoplasms of liver,75806.92305,Malignant neoplasms of liver
Male,2010,Total,Cancers,Malignant neoplasms of liver,76440.3666,Malignant neoplasms of liver
Male,2011,Total,Cancers,Malignant neoplasms of liver,76231.12644,Malignant neoplasms of liver
Male,2012,Total,Cancers,Malignant neoplasms of liver,77176.44892,Malignant neoplasms of liver
Male,2013,Total,Cancers,Malignant neoplasms of liver,77194.72394,Malignant neoplasms of liver
Male,2014,Total,Cancers,Malignant neoplasms of liver,77670.62465,Malignant neoplasms of liver
Male,2015,Total,Cancers,Malignant neoplasms of liver,77113.25762,Malignant neoplasms of liver
Male,2016,Total,Cancers,Malignant neoplasms of liver,76827.69192,Malignant neoplasms of liver
Female,2000,Total,Other,Peptic ulcer,13632.94613,
Female,2001,Total,Other,Peptic ulcer,14726.57318,
Female,2002,Total,Other,Peptic ulcer,14196.52903,
Female,2003,Total,Other,Peptic ulcer,13609.76328,
Female,2007,Total,Other,Peptic ulcer,11130.17733,
Female,2008,Total,Other,Peptic ulcer,10749.47816,
Female,2009,Total,Other,Peptic ulcer,10306.93249,
Female,2010,Total,Other,Peptic ulcer,10163.0038,
Female,2011,Total,Other,Peptic ulcer,9431.05232,
Female,2012,Total,Other,Peptic ulcer,9305.44842,
Female,2013,Total,Other,Peptic ulcer,9008.443327,
Female,2014,Total,Other,Peptic ulcer,8886.973584,
Female,2015,Total,Other,Peptic ulcer,8436.686815,
Female,2016,Total,Other,Peptic ulcer,8787.048526,
Female,2017,Total,Other,Peptic ulcer,8696.15094,
Female,2018,Total,Other,Peptic ulcer,7943.091266,
Female,2019,Total,Other,Peptic ulcer,8118.866583,
Male,2000,Total,External Causes,Accidents,236374.5159,
Male,2001,Total,External Causes,Accidents,243309.724,
Male,2002,Total,External Causes,Accidents,242018.8422,
Male,2003,Total,External Causes,Accidents,242643.1251,
Male,2004,Total,External Causes,Accidents,235143.9562,
Male,2005,Total,External Causes,Accidents,236765.0586,
Male,2006,Total,External Causes,Accidents,239046.7386,
Male,2007,Total,External Causes,Accidents,238675.6228,
Male,2008,Total,External Causes,Accidents,236098.7286,
Male,2009,Total,External Causes,Accidents,237167.1479,
Male,2010,Total,External Causes,Accidents,235557.6321,
Male,2011,Total,External Causes,Accidents,239770.1874,
Male,2012,Total,External Causes,Accidents,232989.257,
Male,2013,Total,External Causes,Accidents,235131.59,
Male,2014,Total,External Causes,Accidents,236915.0235,
Male,2015,Total,External Causes,Accidents,244603.5157,
Male,2016,Total,External Causes,Accidents,255915.5784,
Male,2017,Total,External Causes,Accidents,242901.7509,
Male,2018,Total,External Causes,Accidents,224247.6546,
